name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 7814,NGC7814,galaxy,Galaxy,00:03:14,+16:08:43,10.6,4.37,
NGC 0016,NGC0016,galaxy,Galaxy,00:09:04,+27:43:45,12.0,1.74,
NGC 0023,NGC0023,galaxy,Galaxy,00:09:53,+25:55:25,12.0,1.55,
NGC 0024,NGC0024,galaxy,Galaxy,00:09:56,-24:57:47,11.5,6.18,
NGC 0040,NGC0040,nebula,Planetary Nebula,00:13:01,+72:31:19,11.9,0.80,Bow-Tie nebula
NGC 0045,NGC0045,galaxy,Galaxy,00:14:03,-23:10:55,10.4,6.18,
NGC 0057,NGC0057,galaxy,Galaxy,00:15:30,+17:19:42,11.7,2.11,
IC 0010,IC0010,galaxy,Galaxy,00:20:17,+59:18:13,10.3,6.76,
NGC 0103,NGC0103,cluster,Open Cluster,00:25:16,+61:19:24,9.8,2.70,
NGC 0128,NGC0128,galaxy,Galaxy,00:29:15,+02:51:50,11.6,3.16,
NGC 0129,NGC0129,cluster,Open Cluster,00:29:58,+60:12:40,6.5,5.40,
NGC 0134,NGC0134,galaxy,Galaxy,00:30:21,-33:14:38,10.3,8.38,
NGC 0133,NGC0133,cluster,Open Cluster,00:31:16,+63:21:09,9.4,2.10,
NGC 0146,NGC0146,cluster,Open Cluster,00:33:03,+63:18:32,9.1,3.60,
NGC 0147,NGC0147,galaxy,Galaxy,00:33:12,+48:30:31,9.7,9.40,
NGC 0151,NGC0151,galaxy,Galaxy,00:34:02,-09:42:19,11.7,3.74,
NGC 0150,NGC0150,galaxy,Galaxy,00:34:15,-27:48:12,11.4,3.54,
NGC 0185,NGC0185,galaxy,Galaxy,00:38:57,+48:20:14,9.2,12.94,
NGC 0189,NGC0189,cluster,Open Cluster,00:39:35,+61:05:40,8.8,2.70,
M 110,NGC0205,galaxy,Galaxy,00:40:22,+41:41:07,8.2,16.22,
NGC 0210,NGC0210,galaxy,Galaxy,00:40:35,-13:52:22,11.1,4.98,
M 32,NGC0221,galaxy,Galaxy,00:42:41,+40:51:55,8.1,7.74,
M 31,NGC0224,galaxy,Galaxy,00:42:44,+41:16:08,3.4,177.83,Andromeda Galaxy
NGC 0225,NGC0225,cluster,Open Cluster,00:43:36,+61:46:01,7.0,4.20,
NGC 0246,NGC0246,nebula,Planetary Nebula,00:47:03,-11:52:19,10.9,4.08,
NGC 0247,NGC0247,galaxy,Galaxy,00:47:08,-20:45:37,9.2,19.68,
NGC 0188,NGC0188,cluster,Open Cluster,00:47:27,+85:16:10,8.1,17.70,
NGC 0254,NGC0254,galaxy,Galaxy,00:47:27,-31:25:18,11.7,2.77,
NGC 0253,NGC0253,galaxy,Galaxy,00:47:33,-25:17:17,11.1,26.79,"Sculptor Filament,Silver Coin"
NGC 0255,NGC0255,galaxy,Galaxy,00:47:47,-11:28:07,11.9,2.04,
